rc_m,seed,switch_c0,switch_c1_slope,fade_cost_us
3.0,8,0.00026294897975664977,7.204977170438553e-05,718.3175010140985
3.0,9,0.00026294897975664977,7.204977170438553e-05,708.9917999110185
3.0,10,0.00026294897975664977,7.204977170438553e-05,718.93529893714
3.0,11,0.00026294897975664977,7.204977170438553e-05,702.449199889088
3.0,12,0.00026294897975664977,7.204977170438553e-05,699.3342023633886
3.0,13,0.00026294897975664977,7.204977170438553e-05,721.4864010165911
3.0,14,0.00026294897975664977,7.204977170438553e-05,711.485200736206
3.0,15,0.00026294897975664977,7.204977170438553e-05,700.7191001321189
3.0,16,0.00026294897975664977,7.204977170438553e-05,699.5356998231728
3.0,17,0.00026294897975664977,7.204977170438553e-05,705.9251998725813
3.0,18,0.00026294897975664977,7.204977170438553e-05,716.4501992519945
3.0,19,0.00026294897975664977,7.204977170438553e-05,717.8518979344517
3.0,20,0.00026294897975664977,7.204977170438553e-05,693.5481018444989
3.0,21,0.00026294897975664977,7.204977170438553e-05,701.5131006482989
3.0,22,0.00026294897975664977,7.204977170438553e-05,709.7904002876021
3.0,23,0.00026294897975664977,7.204977170438553e-05,722.1317006042227
3.0,24,0.00026294897975664977,7.204977170438553e-05,716.7690993810538
3.0,25,0.00026294897975664977,7.204977170438553e-05,707.4490000377409
3.0,26,0.00026294897975664977,7.204977170438553e-05,708.1781011947896
3.0,27,0.00026294897975664977,7.204977170438553e-05,702.3477002803702
3.0,28,0.00026294897975664977,7.204977170438553e-05,694.2910011275671
3.0,29,0.00026294897975664977,7.204977170438553e-05,692.3152010131162
4.0,0,0.0002880671120695233,2.924113284841212e-05,695.7406010769773
4.0,1,0.0002880671120695233,2.924113284841212e-05,722.5770998047665
4.0,2,0.0002880671120695233,2.924113284841212e-05,738.8347985397559
4.0,3,0.0002880671120695233,2.924113284841212e-05,719.1331998910755
4.0,4,0.0002880671120695233,2.924113284841212e-05,698.2236991461832
4.0,5,0.0002880671120695233,2.924113284841212e-05,708.9219980116468
4.0,6,0.0002880671120695233,2.924113284841212e-05,710.5388009222224
4.0,7,0.0002880671120695233,2.924113284841212e-05,728.8087013876066
4.0,8,0.0002880671120695233,2.924113284841212e-05,721.0070012661163
4.0,9,0.0002880671120695233,2.924113284841212e-05,717.7565996244084
4.0,10,0.0002880671120695233,2.924113284841212e-05,727.6363008713815
4.0,11,0.0002880671120695233,2.924113284841212e-05,711.9893991330173
4.0,12,0.0002880671120695233,2.924113284841212e-05,708.7977006449364
4.0,13,0.0002880671120695233,2.924113284841212e-05,713.3722996513825
4.0,14,0.0002880671120695233,2.924113284841212e-05,696.3231993722729
4.0,15,0.0002880671120695233,2.924113284841212e-05,705.3141998767387
4.0,16,0.0002880671120695233,2.924113284841212e-05,693.4605989954434
4.0,17,0.0002880671120695233,2.924113284841212e-05,697.8140991122928
4.0,18,0.0002880671120695233,2.924113284841212e-05,695.8635996852536
4.0,19,0.0002880671120695233,2.924113284841212e-05,700.9953005763236
4.0,20,0.0002880671120695233,2.924113284841212e-05,693.5698991583195
4.0,21,0.0002880671120695233,2.924113284841212e-05,704.3509001960047
4.0,22,0.0002880671120695233,2.924113284841212e-05,726.664000103483
4.0,23,0.0002880671120695233,2.924113284841212e-05,710.4058015102055
4.0,24,0.0002880671120695233,2.924113284841212e-05,703.2724999589846
4.0,25,0.0002880671120695233,2.924113284841212e-05,718.9472991740331
4.0,26,0.0002880671120695233,2.924113284841212e-05,733.853000565432
4.0,27,0.0002880671120695233,2.924113284841212e-05,731.279599131085
4.0,28,0.0002880671120695233,2.924113284841212e-05,703.4608992398717
4.0,29,0.0002880671120695233,2.924113284841212e-05,693.332599621499
