global_resolution,grid_spacing_m,method,seed,seam_c0_rms_m,t_total_ms,single_grid_baked_vertices
96,0.8421052631578947,smoothstep,7,4.7521455008856255e-06,3.270094995968975,9216
96,0.8421052631578947,smoothstep,8,4.9188605224617754e-06,3.2599230034975335,9216
96,0.8421052631578947,smoothstep,9,5.554147158798626e-06,3.269922992330976,9216
96,0.8421052631578947,gaussian_calibrated,0,1.3027868468401357e-06,3.3552070090081543,9216
96,0.8421052631578947,gaussian_calibrated,1,4.506729273858278e-07,3.2967559891403653,9216
96,0.8421052631578947,gaussian_calibrated,2,9.788388753895923e-07,3.2314209893229418,9216
96,0.8421052631578947,gaussian_calibrated,3,4.919721433852999e-07,3.2256559934467077,9216
96,0.8421052631578947,gaussian_calibrated,4,8.5147922005402e-07,3.2520250024390407,9216
96,0.8421052631578947,gaussian_calibrated,5,1.3170859565772033e-06,3.220080994651653,9216
96,0.8421052631578947,gaussian_calibrated,6,5.404466990544138e-07,3.251265996368602,9216
96,0.8421052631578947,gaussian_calibrated,7,7.919833706947245e-07,3.3963810055865906,9216
96,0.8421052631578947,gaussian_calibrated,8,7.842778495017651e-07,3.3211659974767826,9216
96,0.8421052631578947,gaussian_calibrated,9,8.705133656902381e-07,3.224579995730892,9216
96,0.8421052631578947,hybrid,0,8.435398493886987e-06,3.3482049984741025,9216
96,0.8421052631578947,hybrid,1,3.1602366865434675e-06,3.315067988296505,9216
96,0.8421052631578947,hybrid,2,5.9779737680047e-06,3.310774001874961,9216
96,0.8421052631578947,hybrid,3,3.0055999215710947e-06,3.3001329938997515,9216
96,0.8421052631578947,hybrid,4,5.441357524284487e-06,3.3046609969460405,9216
96,0.8421052631578947,hybrid,5,7.623484069195739e-06,3.2959210002445616,9216
96,0.8421052631578947,hybrid,6,3.619921877931403e-06,3.4644639963516966,9216
96,0.8421052631578947,hybrid,7,4.7521455008856255e-06,3.3633429993642494,9216
96,0.8421052631578947,hybrid,8,4.9188605224617754e-06,3.360982009326108,9216
96,0.8421052631578947,hybrid,9,5.554147158798626e-06,3.327672995510511,9216
128,0.6299212598425197,smoothstep,0,6.406905993626317e-06,4.8271529958583415,16384
128,0.6299212598425197,smoothstep,1,2.0587125003185165e-06,4.418345000885893,16384
128,0.6299212598425197,smoothstep,2,3.991716847346109e-06,4.274170998542104,16384
128,0.6299212598425197,smoothstep,3,2.6104725407226184e-06,4.290730990760494,16384
128,0.6299212598425197,smoothstep,4,4.2872633591734785e-06,4.2345930050942115,16384
128,0.6299212598425197,smoothstep,5,5.6618028750377574e-06,4.242115996021312,16384
128,0.6299212598425197,smoothstep,6,2.0933838334000853e-06,4.414825001731515,16384
128,0.6299212598425197,smoothstep,7,3.609823780651419e-06,4.300704000343103,16384
128,0.6299212598425197,smoothstep,8,3.7316229197667954e-06,4.347082998719998,16384
128,0.6299212598425197,smoothstep,9,3.7624157619093115e-06,4.501527997490484,16384
128,0.6299212598425197,gaussian_calibrated,0,1.4730309261373359e-06,4.344898996350821,16384
128,0.6299212598425197,gaussian_calibrated,1,4.5220923874007623e-07,4.366581997601315,16384
128,0.6299212598425197,gaussian_calibrated,2,1.1137576827908595e-06,4.330374002165627,16384
128,0.6299212598425197,gaussian_calibrated,3,6.179425787160635e-07,4.399176003062166,16384
128,0.6299212598425197,gaussian_calibrated,4,9.47091248067725e-07,4.455479000171181,16384
128,0.6299212598425197,gaussian_calibrated,5,1.4089469574544903e-06,4.418753007485066,16384
128,0.6299212598425197,gaussian_calibrated,6,5.059464970444062e-07,4.703272003098391,16384
128,0.6299212598425197,gaussian_calibrated,7,8.599787193759217e-07,4.444578000402544,16384
128,0.6299212598425197,gaussian_calibrated,8,9.183084227964682e-07,4.440951997821685,16384
128,0.6299212598425197,gaussian_calibrated,9,8.493539084932827e-07,4.491248997510411,16384
128,0.6299212598425197,hybrid,0,6.406905993626317e-06,4.438195996044669,16384
128,0.6299212598425197,hybrid,1,2.0587125003185165e-06,4.418636002810672,16384
128,0.6299212598425197,hybrid,2,3.991716847346109e-06,4.309453004680108,16384
128,0.6299212598425197,hybrid,3,2.6104725407226184e-06,4.481752010178752,16384
128,0.6299212598425197,hybrid,4,4.2872633591734785e-06,4.656109005736653,16384
128,0.6299212598425197,hybrid,5,5.6618028750377574e-06,4.610896998201497,16384
128,0.6299212598425197,hybrid,6,2.0933838334000853e-06,4.618620005203411,16384
128,0.6299212598425197,hybrid,7,3.609823780651419e-06,4.514587992161978,16384
128,0.6299212598425197,hybrid,8,3.7316229197667954e-06,4.612161006662063,16384
128,0.6299212598425197,hybrid,9,3.7624157619093115e-06,4.703190999862272,16384
192,0.418848167539267,smoothstep,0,3.480731641141478e-06,9.784118985407986,36864
192,0.418848167539267,smoothstep,1,1.207465827064763e-06,8.314116996189114,36864
192,0.418848167539267,smoothstep,2,2.5132286038868922e-06,7.6609949974226765,36864
192,0.418848167539267,smoothstep,3,1.3146258718354602e-06,7.959144997585099,36864
192,0.418848167539267,smoothstep,4,2.5174917936202376e-06,7.8015439939918,36864
192,0.418848167539267,smoothstep,5,3.265445296457918e-06,7.783862005453557,36864
192,0.418848167539267,smoothstep,6,1.340088727441136e-06,7.7610300068045035,36864
192,0.418848167539267,smoothstep,7,2.1462279585348537e-06,8.065405003435444,36864
192,0.418848167539267,smoothstep,8,2.439160995846676e-06,8.21510599780595,36864
192,0.418848167539267,smoothstep,9,2.030164837093833e-06,8.417614008067176,36864
192,0.418848167539267,gaussian_calibrated,0,1.6087586154225232e-06,7.774772013362963,36864
192,0.418848167539267,gaussian_calibrated,1,5.286121539603131e-07,7.62032999045914,36864
192,0.418848167539267,gaussian_calibrated,2,1.2930944980337027e-06,7.858701006625779,36864
192,0.418848167539267,gaussian_calibrated,3,6.640986147209599e-07,7.881337012804579,36864
192,0.418848167539267,gaussian_calibrated,4,1.1075374701670598e-06,7.902372999524232,36864
192,0.418848167539267,gaussian_calibrated,5,1.7047425337630081e-06,7.524465989263263,36864
192,0.418848167539267,gaussian_calibrated,6,6.730311122665418e-07,7.728304008196574,36864
192,0.418848167539267,gaussian_calibrated,7,1.0516509817025924e-06,7.478254003217444,36864
192,0.418848167539267,gaussian_calibrated,8,1.1598782657813188e-06,7.33389999368228,36864
