switch_width_m,seed,switch_c0,curvature_c2
0.3,27,8.650190405057323e-05,1.3056424291768565
0.3,28,8.650190405057323e-05,1.3056424291768565
0.3,29,8.650190405057323e-05,1.3056424291768565
0.6,0,2.483877716374927e-05,0.6161496291598147
0.6,1,2.483877716374927e-05,0.6161496291598147
0.6,2,2.483877716374927e-05,0.6161496291598147
0.6,3,2.483877716374927e-05,0.6161496291598147
0.6,4,2.483877716374927e-05,0.6161496291598147
0.6,5,2.483877716374927e-05,0.6161496291598147
0.6,6,2.483877716374927e-05,0.6161496291598147
0.6,7,2.483877716374927e-05,0.6161496291598147
0.6,8,2.483877716374927e-05,0.6161496291598147
0.6,9,2.483877716374927e-05,0.6161496291598147
0.6,10,2.483877716374927e-05,0.6161496291598147
0.6,11,2.483877716374927e-05,0.6161496291598147
0.6,12,2.483877716374927e-05,0.6161496291598147
0.6,13,2.483877716374927e-05,0.6161496291598147
0.6,14,2.483877716374927e-05,0.6161496291598147
0.6,15,2.483877716374927e-05,0.6161496291598147
0.6,16,2.483877716374927e-05,0.6161496291598147
0.6,17,2.483877716374927e-05,0.6161496291598147
0.6,18,2.483877716374927e-05,0.6161496291598147
0.6,19,2.483877716374927e-05,0.6161496291598147
0.6,20,2.483877716374927e-05,0.6161496291598147
0.6,21,2.483877716374927e-05,0.6161496291598147
0.6,22,2.483877716374927e-05,0.6161496291598147
0.6,23,2.483877716374927e-05,0.6161496291598147
0.6,24,2.483877716374927e-05,0.6161496291598147
0.6,25,2.483877716374927e-05,0.6161496291598147
0.6,26,2.483877716374927e-05,0.6161496291598147
0.6,27,2.483877716374927e-05,0.6161496291598147
0.6,28,2.483877716374927e-05,0.6161496291598147
0.6,29,2.483877716374927e-05,0.6161496291598147
1.0,0,1.7352180470275869e-07,0.3401972886277415
1.0,1,1.7352180470275869e-07,0.3401972886277415
1.0,2,1.7352180470275869e-07,0.3401972886277415
1.0,3,1.7352180470275869e-07,0.3401972886277415
1.0,4,1.7352180470275869e-07,0.3401972886277415
1.0,5,1.7352180470275869e-07,0.3401972886277415
1.0,6,1.7352180470275869e-07,0.3401972886277415
1.0,7,1.7352180470275869e-07,0.3401972886277415
1.0,8,1.7352180470275869e-07,0.3401972886277415
1.0,9,1.7352180470275869e-07,0.3401972886277415
1.0,10,1.7352180470275869e-07,0.3401972886277415
1.0,11,1.7352180470275869e-07,0.3401972886277415
1.0,12,1.7352180470275869e-07,0.3401972886277415
1.0,13,1.7352180470275869e-07,0.3401972886277415
1.0,14,1.7352180470275869e-07,0.3401972886277415
1.0,15,1.7352180470275869e-07,0.3401972886277415
1.0,16,1.7352180470275869e-07,0.3401972886277415
1.0,17,1.7352180470275869e-07,0.3401972886277415
1.0,18,1.7352180470275869e-07,0.3401972886277415
1.0,19,1.7352180470275869e-07,0.3401972886277415
1.0,20,1.7352180470275869e-07,0.3401972886277415
1.0,21,1.7352180470275869e-07,0.3401972886277415
1.0,22,1.7352180470275869e-07,0.3401972886277415
1.0,23,1.7352180470275869e-07,0.3401972886277415
1.0,24,1.7352180470275869e-07,0.3401972886277415
1.0,25,1.7352180470275869e-07,0.3401972886277415
1.0,26,1.7352180470275869e-07,0.3401972886277415
1.0,27,1.7352180470275869e-07,0.3401972886277415
1.0,28,1.7352180470275869e-07,0.3401972886277415
1.0,29,1.7352180470275869e-07,0.3401972886277415
2.0,0,1.832542062563114e-05,0.13285226203163245
2.0,1,1.832542062563114e-05,0.13285226203163245
2.0,2,1.832542062563114e-05,0.13285226203163245
2.0,3,1.832542062563114e-05,0.13285226203163245
2.0,4,1.832542062563114e-05,0.13285226203163245
2.0,5,1.832542062563114e-05,0.13285226203163245
2.0,6,1.832542062563114e-05,0.13285226203163245
2.0,7,1.832542062563114e-05,0.13285226203163245
2.0,8,1.832542062563114e-05,0.13285226203163245
2.0,9,1.832542062563114e-05,0.13285226203163245
2.0,10,1.832542062563114e-05,0.13285226203163245
2.0,11,1.832542062563114e-05,0.13285226203163245
2.0,12,1.832542062563114e-05,0.13285226203163245
2.0,13,1.832542062563114e-05,0.13285226203163245
2.0,14,1.832542062563114e-05,0.13285226203163245
2.0,15,1.832542062563114e-05,0.13285226203163245
2.0,16,1.832542062563114e-05,0.13285226203163245
2.0,17,1.832542062563114e-05,0.13285226203163245
2.0,18,1.832542062563114e-05,0.13285226203163245
2.0,19,1.832542062563114e-05,0.13285226203163245
2.0,20,1.832542062563114e-05,0.13285226203163245
2.0,21,1.832542062563114e-05,0.13285226203163245
2.0,22,1.832542062563114e-05,0.13285226203163245
2.0,23,1.832542062563114e-05,0.13285226203163245
2.0,24,1.832542062563114e-05,0.13285226203163245
2.0,25,1.832542062563114e-05,0.13285226203163245
2.0,26,1.832542062563114e-05,0.13285226203163245
2.0,27,1.832542062563114e-05,0.13285226203163245
2.0,28,1.832542062563114e-05,0.13285226203163245
2.0,29,1.832542062563114e-05,0.13285226203163245
