R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
4.0,gaussian_calibrated,14,5.374910037161047e-06,0.002328249032016988
4.0,gaussian_calibrated,15,7.740077762418192e-06,0.0034111962472483017
4.0,gaussian_calibrated,16,6.831406492849995e-06,0.002755360871593685
4.0,gaussian_calibrated,17,2.4970260360400502e-06,0.001054107010667238
4.0,gaussian_calibrated,18,3.0764702189649377e-06,0.0012637243904379195
4.0,gaussian_calibrated,19,8.022117420595481e-06,0.00359054317565522
4.0,gaussian_calibrated,20,4.8092052567299e-06,0.0022176202999824777
4.0,gaussian_calibrated,21,5.721117185752342e-06,0.0028778412790864626
4.0,gaussian_calibrated,22,5.429057427336322e-06,0.002240586809147608
4.0,gaussian_calibrated,23,5.000780401709406e-06,0.002004752678312628
4.0,gaussian_calibrated,24,7.4689124222326725e-06,0.0032976894701509272
4.0,gaussian_calibrated,25,3.6712070487791465e-06,0.0014101698560480798
4.0,gaussian_calibrated,26,3.42699486025991e-06,0.0015601225693405007
4.0,gaussian_calibrated,27,7.6051394726803515e-06,0.003075019910663193
4.0,gaussian_calibrated,28,6.942907674445633e-06,0.002907953272325024
4.0,gaussian_calibrated,29,3.5576850611436307e-06,0.0015841317039695113
6.0,smoothstep,0,1.2413497633916865e-06,0.00292838418972064
6.0,smoothstep,1,4.032426870020141e-07,0.0009571715541808219
6.0,smoothstep,2,1.10367224696445e-06,0.002496128820519909
6.0,smoothstep,3,4.872815022199927e-07,0.0011224035840677832
6.0,smoothstep,4,9.78157935942936e-07,0.00228204217978522
6.0,smoothstep,5,1.4476478702593339e-06,0.0033426773111221125
6.0,smoothstep,6,5.489645128332903e-07,0.0012672130691424948
6.0,smoothstep,7,8.633575151704583e-07,0.0019971301336400107
6.0,smoothstep,8,7.643617764006389e-07,0.0017488682389409876
6.0,smoothstep,9,8.679273408441917e-07,0.0020119018986688286
6.0,smoothstep,10,1.4015630710615006e-06,0.0032717487116209467
6.0,smoothstep,11,1.0307113816295115e-06,0.00237651113297529
6.0,smoothstep,12,1.350351417328432e-06,0.0031456854677720247
6.0,smoothstep,13,1.1329886574782558e-06,0.002670532288165085
6.0,smoothstep,14,9.500656867356925e-07,0.0022033302929138233
6.0,smoothstep,15,1.4291501185513053e-06,0.00330804254699713
6.0,smoothstep,16,1.1922346517106649e-06,0.0027522920606611444
6.0,smoothstep,17,4.1544339765470184e-07,0.0009559473319410113
6.0,smoothstep,18,5.478075392714435e-07,0.001271600741620319
6.0,smoothstep,19,1.4132841689812316e-06,0.0032382162340041324
6.0,smoothstep,20,7.845799688028273e-07,0.0018020289154543176
6.0,smoothstep,21,8.720023774624024e-07,0.002041567003916307
6.0,smoothstep,22,9.4451122519461e-07,0.002183539443587954
6.0,smoothstep,23,9.070530117782758e-07,0.0020827065327506966
6.0,smoothstep,24,1.1265905372192924e-06,0.002602746226265012
6.0,smoothstep,25,6.237073928916154e-07,0.0014457380773023854
6.0,smoothstep,26,5.103642050515222e-07,0.0012045993569177198
6.0,smoothstep,27,1.328326296956748e-06,0.0031004516711290882
6.0,smoothstep,28,1.242309194556618e-06,0.0028814277523182713
6.0,smoothstep,29,6.668301995384492e-07,0.0015434218623515015
6.0,gaussian_shipped,0,0.0022411373704304934,0.9211344264988389
6.0,gaussian_shipped,1,0.0007280158113727933,0.31927627308405226
6.0,gaussian_shipped,2,0.0019925738823366288,0.7408159607723901
6.0,gaussian_shipped,3,0.000879739793530014,0.3545677423955091
6.0,gaussian_shipped,4,0.0017659698894494176,0.6881515534467737
6.0,gaussian_shipped,5,0.002613588721681338,0.9608289382277665
6.0,gaussian_shipped,6,0.0009911025248753025,0.36760693950785917
6.0,gaussian_shipped,7,0.0015587087929222023,0.6380116406111344
6.0,gaussian_shipped,8,0.0013799815266727444,0.5662758809468409
6.0,gaussian_shipped,9,0.0015669591727875704,0.5973382873953706
6.0,gaussian_shipped,10,0.0025303870578659363,0.9075717667996792
6.0,gaussian_shipped,11,0.0018608500711246138,0.6676268406854868
6.0,gaussian_shipped,12,0.002437929352255922,0.8880365039792825
6.0,gaussian_shipped,13,0.0020455018363323284,0.9754263371700738
6.0,gaussian_shipped,14,0.0017152520407217704,0.7053984759215299
6.0,gaussian_shipped,15,0.0025801928135784254,0.9920460600782386
6.0,gaussian_shipped,16,0.0021524647694542353,0.8520374263671109
6.0,gaussian_shipped,17,0.0007500430186885106,0.28899185068520883
6.0,gaussian_shipped,18,0.0009890137206055285,0.38120649747700913
6.0,gaussian_shipped,19,0.0025515483706120023,0.8623511820645783
6.0,gaussian_shipped,20,0.001416483524652182,0.5681765898767573
6.0,gaussian_shipped,21,0.0015743162586954107,0.703444204917873
6.0,gaussian_shipped,22,0.0017052239956860734,0.6878368356392445
6.0,gaussian_shipped,23,0.0016375968011655422,0.59235460746236
6.0,gaussian_shipped,24,0.002033950646783872,0.788378371807254
6.0,gaussian_shipped,25,0.0011260435919397797,0.43133875950219
6.0,gaussian_shipped,26,0.0009214133890402281,0.39589116999921525
6.0,gaussian_shipped,27,0.0023981651199590057,0.9807607387103846
6.0,gaussian_shipped,28,0.0022428695309395573,0.8108996927667008
6.0,gaussian_shipped,29,0.001203897663647996,0.4274262435560452
6.0,gaussian_calibrated,0,6.719648313462635e-06,0.002962555650508352
6.0,gaussian_calibrated,1,2.182824794057863e-06,0.0010227800629376011
6.0,gaussian_calibrated,2,5.974375290221989e-06,0.0022756881233696974
6.0,gaussian_calibrated,3,2.6377419331258557e-06,0.0011099798007258243
6.0,gaussian_calibrated,4,5.29494387351416e-06,0.0022024722062564477
6.0,gaussian_calibrated,5,7.836376867142893e-06,0.0030572312661007166
6.0,gaussian_calibrated,6,2.9716431030140796e-06,0.001166897221536131
6.0,gaussian_calibrated,7,4.673508661152326e-06,0.002005275932403752
6.0,gaussian_calibrated,8,4.137627019505225e-06,0.0017517290717577925
6.0,gaussian_calibrated,9,4.6982459449436785e-06,0.0019003657821401382
6.0,gaussian_calibrated,10,7.586911605748827e-06,0.0029493910548781836
6.0,gaussian_calibrated,11,5.579425075419377e-06,0.002126600262266621
6.0,gaussian_calibrated,12,7.309693763698559e-06,0.002869870958469994
6.0,gaussian_calibrated,13,6.133070264253819e-06,0.0030619319487506774
6.0,gaussian_calibrated,14,5.142875503604411e-06,0.0022201073462663062
6.0,gaussian_calibrated,15,7.736245228395026e-06,0.003145078153493467
6.0,gaussian_calibrated,16,6.453779428555326e-06,0.0026803370543785803
6.0,gaussian_calibrated,17,2.2488694232011986e-06,0.0009079898538677101
6.0,gaussian_calibrated,18,2.965380198172221e-06,0.0012129937345008322
6.0,gaussian_calibrated,19,7.650360005378806e-06,0.0027427939749345267
6.0,gaussian_calibrated,20,4.247071711471354e-06,0.0017707853236142222
6.0,gaussian_calibrated,21,4.720304847072968e-06,0.0022118360735301165
6.0,gaussian_calibrated,22,5.112808209738125e-06,0.0021620615768712984
6.0,gaussian_calibrated,23,4.910040200244442e-06,0.0018704783106331345
6.0,gaussian_calibrated,24,6.098436094839714e-06,0.002489006644710402
6.0,gaussian_calibrated,25,3.376239682269053e-06,0.0013730616130220171
6.0,gaussian_calibrated,26,2.762692732430203e-06,0.0012637434602870733
6.0,gaussian_calibrated,27,7.190467847422492e-06,0.0031205245575778797
6.0,gaussian_calibrated,28,6.7248418859749465e-06,0.0026053226368943482
6.0,gaussian_calibrated,29,3.609671148163454e-06,0.001372676837065212
8.0,smoothstep,0,7.252721841292431e-07,0.001687078791860014
8.0,smoothstep,1,2.40564562444708e-07,0.0005592507397832704
8.0,smoothstep,2,5.951857405065877e-07,0.0013848084202010237
8.0,smoothstep,3,2.8044061464960544e-07,0.0006557177750917756
8.0,smoothstep,4,5.101319228167404e-07,0.0011712496497180383
8.0,smoothstep,5,7.722518539873853e-07,0.0017919739835461934
8.0,smoothstep,6,3.092635354598181e-07,0.0007099212150306984
8.0,smoothstep,7,4.79705721685295e-07,0.001115006572622735
8.0,smoothstep,8,4.948087035757351e-07,0.0011508986803228007
8.0,smoothstep,9,4.789518501210656e-07,0.0011004569386716826
8.0,smoothstep,10,7.730057648288293e-07,0.0017953792590043524
8.0,smoothstep,11,5.73399464732637e-07,0.001346217156222884
8.0,smoothstep,12,6.760124331667906e-07,0.0015651730633253662
8.0,smoothstep,13,7.291443804615765e-07,0.001685709914606099
8.0,smoothstep,14,5.618691138439161e-07,0.0012904382167979872
8.0,smoothstep,15,7.499866616470155e-07,0.0017102784245218844
8.0,smoothstep,16,6.75283032911233e-07,0.0015656664346101333
8.0,smoothstep,17,2.3839217079214393e-07,0.0005500061472416788
8.0,smoothstep,18,3.043634211132398e-07,0.0007004702213286104
8.0,smoothstep,19,7.431717665594443e-07,0.0016912759747466737
8.0,smoothstep,20,4.646925976509831e-07,0.0010673925527233963
8.0,smoothstep,21,5.598350560073324e-07,0.0012997085388514098
8.0,smoothstep,22,5.430383797301968e-07,0.001253366433292184
8.0,smoothstep,23,4.5506448308409603e-07,0.0010445282877865546
8.0,smoothstep,24,7.06603005934881e-07,0.0016307118166259125
8.0,smoothstep,25,3.8963331975198346e-07,0.0009150181431869697
8.0,smoothstep,26,3.344814899980212e-07,0.0007825940555158781
8.0,smoothstep,27,7.719501790483655e-07,0.0017924589513965547
8.0,smoothstep,28,6.863334281612992e-07,0.0015688082606988712
8.0,smoothstep,29,3.5086669343211014e-07,0.0008186525199982219
8.0,gaussian_shipped,0,0.0023149963330256576,0.952372933546405
8.0,gaussian_shipped,1,0.0007678580429553301,0.3099561529606213
8.0,gaussian_shipped,2,0.0018997734049267976,0.7294109848841343
8.0,gaussian_shipped,3,0.0008951384166549055,0.37376167212036704
8.0,gaussian_shipped,4,0.0016282901185544875,0.6314791445715077
8.0,gaussian_shipped,5,0.0024649507443876783,0.897000449257805
8.0,gaussian_shipped,6,0.0009871382995165956,0.3844222774307691
8.0,gaussian_shipped,7,0.0015311727251282369,0.5711044730671977
8.0,gaussian_shipped,8,0.0015793799340343604,0.6206383713125911
8.0,gaussian_shipped,9,0.0015287664424319593,0.5577484036518956
8.0,gaussian_shipped,10,0.0024673571524529096,0.9602722617877005
8.0,gaussian_shipped,11,0.0018302337898269366,0.697435928512939
8.0,gaussian_shipped,12,0.002157764130634284,0.8704074981573637
8.0,gaussian_shipped,13,0.0023273559967577867,0.9533699094372828
8.0,gaussian_shipped,14,0.0017934300620541276,0.6327256948706932
8.0,gaussian_shipped,15,0.002393882475467448,0.9359515547098839
8.0,gaussian_shipped,16,0.002155435957909802,0.7731143586562161
8.0,gaussian_shipped,17,0.000760923985894229,0.2863993014952616
